视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-30 21:58:58,04后表示王心凌好甜
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-26 19:27:55,焯！！！！！！
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-26 13:15:02,除了想笑还有点想哭
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-27 23:07:17,为什么我看哭了。。想起了自己的青春5555
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-26 20:12:50,野 狼 disco
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-31 11:51:58,我的胰岛素呐！太甜了吧也
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-26 13:28:21,变声期
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-26 10:16:24,哈哈哈哈哈哈哈哈哈哈哈哈我笑裂了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-25 23:20:30,猛男落泪
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-23 23:59:44,通通闪开！大学
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-23 23:55:37,DNA复苏中
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-06-11 01:39:10,10表示王心凌真的超级甜啊啊啊啊啊啊啊啊
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-29 15:39:10,还是看看书架上的玩偶吧家人们
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2022-05-27 18:44:39,尴捧
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-06-12 23:39:58,我刚出生笑死了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-06-09 20:10:37,女神仍然青春，男孩们都中年了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-31 23:15:05,86人
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-20 23:08:46,一周年纪念！
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-17 19:30:40,大学听的咋了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-17 16:20:46,这什么专场
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-16 19:14:13,人间值得了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-14 20:17:52,你干嘛哎哟
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-14 13:20:01,小学
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-13 15:50:28,哈哈哈哈哈
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-10 13:16:17,高中
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-05-09 22:00:51,哈哈哈哈哈
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-04-29 19:53:55,摄像能别这么晃吗。。。。
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-04-17 14:44:25,高二
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-03-27 03:19:49,不是吧！我93年的第一次听王心凌的歌
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-03-27 03:17:59,我以前喜欢性感型现在喜欢可爱型，我90
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-03-08 23:23:44,高中
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-03-01 07:57:38,05上大学了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-03-01 07:57:29,高三了
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-02-25 00:29:28,都是那个时代的回忆，
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-02-17 22:17:44,爱你，永远爱你
https://www.bilibili.com/video/BV1qY4y157dz,http://comment.bilibili.com/727777486.xml,2023-02-16 20:32:52,31歲了
